User Language,IPSP name,URL,Geographic region,Country,Publication languages,Parent organisation,Parent organisation name,Does the IPSP only provide services to its parent organisation?,IPSP/parent organisation legal entity,IPSP/parent organisation legal entity (free text),Type of IPSP,Services provided,Services provided (free text),Publish or provide service - Academic Journals,Publish or provide service - Academic Books,Publish or provide service - Conference outputs,Publish or provide service - Grey literature,"Publish or provide service - Other research products (e.g. media, digital)",Publish or provide service - Non-academic outputs,"Publish or provide service - Other (e.g. datasets, digital scholarship, software)",Disciplines
German,"bu,press Bozen-Bolzano University Press",https://bupress.unibz.it,Southern Europe,Italy,English - German - Romansch - Italian,Yes,Universitätsbibliothek Bozen bzw. Freie Universität Bozen,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,[No response],Publish and Service,Publish and Service,Service,Publish and Service,[No response],[No response],"Engineering and technology,Social sciences,Humanities"
German,PUBLISSO – ZB MED-Publikationsplattform Lebenswissenschaften (institutioneller Verleger),https://www.publisso.de/,Western Europe,Germany,German - English - Spanish,Yes,ZB MED – Informationszentrum Lebenswissenschaften,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Medical and health sciences,Agricultural sciences"
English,Leuven University Press,https://www.lup.be,Western Europe,Belgium,English - Dutch - French - German - Spanish,Yes,KU Leuven,No,Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Service,[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
French,Presses universitaires de Paris Nanterre,https://presses-universitaires.parisnanterre.fr/,Western Europe,France,French - English - Italian - Spanish,Yes,Université Paris Nanterre,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],[No response],Publish,[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
Italian,"Classe di Scienze Fisiche, Matematiche e Naturali della Accademia Peloritana dei Pericolanti",https://cab.unime.it/journals/index.php/aapp/,Southern Europe,Italy,English - Italian - French,Yes,Accademia Peloritana dei Pericolanti,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production",,Publish and Service,[No response],Publish and Service,[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology"
English,Open Journals at Lund University,https://journals.lub.lu.se,Northern Europe,Sweden,English - Swedish - Danish - Norwegian - Romanian,Yes,Lund University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
English,PRELO - Plataforma de Revistas e Livros da NOVA FCSH,https://www.fcsh.unl.pt/investigacao/revistas-cientificas/,Southern Europe,Portugal,Portuguese - English - Spanish - French - Italian,Yes,"Faculdade de Ciências Sociais e Humanas, Universidade Nova de Lisboa",Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Service,Service,Service,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,"Editorial Team of the Faculty of Arts, Masaryk University",https://www.phil.muni.cz/en/research/publishing-and-editorial-activities-of-the-faculty/editorial-activities-of-the-faculty,Eastern Europe,Czechia,Czech - English - German - Slovak - French,Yes,"Masaryk University, Faculty of Arts",No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Service,Service,[No response],[No response],[No response],[No response],[No response],Humanities
Spanish,Edicións USC,https://www.usc.gal/publicacions,Southern Europe,Spain,Spanish - Galician - English - Portuguese,Yes,Universidade de Santiago de Compostela,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],"Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
Hungarian,Institut društvenih znanosti Ivo Pilar,https://www.pilar.hr,Southern Europe,Croatia,Croatian - English,Yes,Institut društvenih znanosti Ivo Pilar,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT, Communication",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
Hungarian,Hrvatska akademija znanosti i umjetnost. Knjižnica,https://dizbi.hazu.hr/a/,Southern Europe,Croatia,Croatian - English,Yes,Hrvatska akademija znanosti i umjetnosti,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT",,Service,Service,Service,[No response],[No response],[No response],[No response],"Natural sciences,Medical and health sciences,Social sciences,Humanities"
English,NTNU Open Access Journals,https://www.ntnu.no/ojs/,Northern Europe,Norway,English - Swedish - Danish,Yes,NTNU Norwegian University og Science and Technology,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Publish and Service,[No response],Service,[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Social sciences,Humanities"
French,éditions Quae,https://www.quae.com,Western Europe,France,French - English,Yes,"INRAE, Cirad, Ifremer",No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication",,[No response],Publish,Service,Service,[No response],Publish,[No response],"Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences"
Hungarian,Sveučilište u Splitu,https://www.unist.hr,Southern Europe,Croatia,Croatian - English,Yes,Sveučilište u Splitu,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,Service,Publish,Publish,Publish,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
English,Eötvös Lórand University - University Library and Archives,https://ojs.elte.hu/,Eastern Europe,Hungary,Hungarian - English - Spanish - German - Italian,Yes,Eötvös Loránd University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice, Other",Archiving service in institutional repository,Service,[No response],[No response],[No response],[No response],[No response],[No response],Multidisciplinary
Spanish,Revista adComunica,https://www.e-revistes.uji.es/index.php/adcomunica/index,Southern Europe,Spain,Spanish - English - Catalan - French - Italian,Yes,PLATCOM - Plataforma de Revistas de Comunicación,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,[No response],[No response],[No response],[No response],[No response],[No response],[No response]
Spanish,Ángel de Juanas Oliva,https://recyt.fecyt.es/index.php/psri/,Southern Europe,Spain,Spanish - English - Portuguese,Yes,Sociedad Iberoamericana de Pedagogía Social,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
French,"Interfas, plateforme de revues en accès ouvert de l'UT2J",https://interfas.univ-tlse2.fr,Western Europe,France,French - Spanish - Portuguese - Italian - Russian,Yes,Université Toulouse 2 Jean Jaurès,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,"MF Norwegian School of Theology, Religion and Society",https://journals.mf.no,Northern Europe,Norway,Norwegian - English - Swedish - Danish,Yes,"MF Norwegian School of Theology, Religion and Society",Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
Hungarian,Centar za elektroničko nakladništvo pri Sveučilištu u Rijeci,https://svkri.uniri.hr/za-autore-i-nakladnike/,Southern Europe,Croatia,Croatian - English,Yes,Sveučilište u Rijeci,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),Other,koordinacija,[No response],Service,[No response],[No response],[No response],[No response],[No response],Multidisciplinary
German,PUBLISSO – ZB MED-Publikationsplattform Lebenswissenschaften (Serviceanbieter),https://www.publisso.de/,Western Europe,Germany,German - English - Spanish,Yes,ZB MED – Informationszentrum Lebenswissenschaften,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
English,University of Westminster Press,https://www.uwestminsterpress.co.uk/,Northern Europe,United Kingdom,English,Yes,University of Westminster,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],Publish,Publish,[No response],[No response],"Social sciences,Humanities"
English,CSUC (Consorci de Serveis Universitaris de Catalunya) / RACO (Revistes Catalanes en Accés Obert),https://raco.cat/raco/index.php/en/home/#gsc.tab=0,Southern Europe,Spain,Catalan - English - Spanish - French,Yes,Consorci de Serveis Universitaris de Catalunya (CSUC),No,Other (please describe),Consortium of Regional administration and universities,Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Training, support and/or advice",,Service,Service,[No response],Service,[No response],[No response],[No response],Multidisciplinary
Spanish,Servei de Publicacions Universitat de Girona,https://www.udg.edu,Southern Europe,Spain,Catalan - Spanish - English - French,Yes,Universitat de Girona,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],Publish and Service,Publish and Service,Multidisciplinary
English,Budapest University of Technology and Economics National Technical Information Centre and Library,https://www.omikk.bme.hu,Eastern Europe,Hungary,Hungarian - English,Yes,Budapest University of Technology and Economics,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Other",DOI,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Engineering and technology,Social sciences"
Hungarian,Morepress,https://morepress.unizd.hr/,Southern Europe,Croatia,Croatian - English - German - Italian - Russian,Yes,University of Zadar,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT",,Publish and Service,Publish,Publish,[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
German,Hamburg University Press,https://hup.sub.uni-hamburg.de,Western Europe,Germany,German - English - Spanish - French - Danish,Yes,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Service,Publish,Publish,[No response],Publish,[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Septentrio Academic Publishing,https://septentrio.uit.no/,Northern Europe,Norway,English - Norwegian - Swedish - Danish - Spanish,Yes,UiT The Arctic University of Norway,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Training, support and/or advice, Other",Pay for the journals' DOIs and Crosscheck iThenticate use,Publish and Service,[No response],Publish and Service,Publish and Service,Publish,Publish,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
English,University of Debrecen Publishing Platform,https://ojs.lib.unideb.hu/,Eastern Europe,Hungary,Hungarian - English - German - Spanish - Italian,Yes,University of Debrecen University and National Library (as provider),Yes,Withdrawn,[No response],Withdrawn,Withdrawn,"Communication services, Administratiive, legal and financial services, and Training services are in the plans for the future but not yet implemented",Service,[No response],[No response],[No response],[No response],[No response],[No response],Multidisciplinary
Spanish,Universidad CEU San Pablo,https://revistascientificas.uspceu.com/,Southern Europe,Spain,Spanish - English,Yes,Universidad CEU San Pablo,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Multidisciplinary,Social sciences,Humanities"
English,Maastricht University Press,https://maastrichtuniversitypress.nl,Western Europe,Netherlands,English - Dutch - German - French,Yes,Maastricht University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Multidisciplinary
French,Observatoire des Abeilles,https://www.osmia-journal-hymenoptera.com/,Western Europe,France,English - French,Yes,Observatoire des Abeilles,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Natural sciences
Polish,Wydawnictwo Uniwersytetu Śląskiego,https://journals.us.edu.pl,Eastern Europe,Poland,Polish - English - French - Italian - Spanish,Yes,Uniwersytet Śląski w Katowicach,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],[No response],"Natural sciences,Social sciences,Humanities"
English,UCL Press,https://www.uclpress.co.uk,Northern Europe,United Kingdom,English,Yes,UCL (University College London),No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
Italian,ATIt - Associazione Teriologica Italiana,http://www.italian-journal-of-mammalogy.it/,Southern Europe,Italy,English,Yes,ATIt - Associazione Teriologica Itlaiana,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Training, support and/or advice",,Publish and Service,[No response],Publish and Service,[No response],[No response],[No response],[No response],Natural sciences
Spanish,Servicio de Publicaciones de la Universidad de Oviedo,https://publicaciones.uniovi.es,Southern Europe,Spain,Spanish - English,Yes,Universidad de Oviedo,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
English,Oslo Metropolitan University Library,https://journals.oslomet.no/,Northern Europe,Norway,English - Norwegian - Swedish - Danish,Yes,Oslo Metropolitan University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
French,"Direction des Bibliothèques, de l'Information et de la Science ouverte de l'Université Paris-Saclay",https://www.universite-paris-saclay.fr/recherche/science-ouverte,Western Europe,France,French - English - Spanish,Yes,Université Paris-Saclay,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Service,Publish and Service,Service,[No response],Service,[No response],Publish and Service,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
Polish,Sekcja Wydawnicza Wydziału Zarządzania Uniwersytetu Warszawskiego,http://www.wz.uw.edu.pl/portale/wydawnictwo-wzuw,Eastern Europe,Poland,English - Polish,Yes,Uniwersytet Warszawski,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences"
German,Universitätsverlag Potsdam,https://www.ub.uni-potsdam.de/de/publizieren/universitaetsverlag,Western Europe,Germany,German - English - Spanish - Polish,Yes,Universität Potsdam,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish,[No response],Publish,Publish,Publish and Service,"Multidisciplinary,Natural sciences,Medical and health sciences,Social sciences,Humanities,Non-academic"
English,Uppsala University Publications,https://journals.uu.se,Northern Europe,Sweden,English - Swedish,Yes,Uppsala University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],Publish and Service,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Social sciences,Humanities,Non-academic"
Italian,Oltreoceano - Centro Internazionale Letterature Migranti,https://www.uniud.it/it/ricerca/progetti/cilm/oltreoceano-cilm,Southern Europe,Italy,[No response],Yes,Università degli Studi di Udine,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Humanities
Italian,Urbino University Press,https://uup.uniurb.it/,Southern Europe,Italy,Italian - English - Spanish - French - German,Yes,Università degli Studi di Urbino,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
Polish,Polish Association for the Study of English PASE,https://pjes.edu.pl/,Eastern Europe,Poland,English,Yes,European Society for the Study of English,Don't know,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Humanities
English,Publishing House “Technologija” of Kaunas University of Technology,https://leidykla.ktu.edu/,Northern Europe,Lithuania,English - Lithuanian,Yes,Kaunas University of Technology,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,Publish,[No response],Publish,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Social sciences,Humanities"
English,"Centro de Investigação e Intervenção Educativas (CIIE), Faculdade de Psicologia e de Ciências da Educação da Universidade do Porto",https://www.fpce.up.pt/ciie/,Southern Europe,Portugal,Portuguese - English - Spanish - French,Yes,University of Porto,Don't know,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Withdrawn,Withdrawn,Research,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Social sciences
English,Prothiki AUTh Scientific publications management,https://ejournals.lib.auth.gr,Southern Europe,Greece,Greek - English - French - Italian - German,Yes,Aristotle University of Thessaloniki,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Administrative, legal and financial, Training, support and/or advice, Other","In the new Press Regulation provisions are made for Administrative, legal and financial services",Publish and Service,[No response],[No response],Publish and Service,[No response],[No response],Publish and Service,Multidisciplinary
English,"University of Borås, Swedish school of library and information science",https://informationr.net/infres,Northern Europe,Sweden,English,Withdrawn,Withdrawn,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,[No response],Publish,[No response],[No response],[No response],[No response],Social sciences
English,Mires and Peat,http://mires-and-peat.net/,Western Europe,Germany,English - Russian - Spanish,Yes,International Mire Conservation Group and International Peatland Society,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Multidisciplinary
German,Universitätsbibliothek der Ruhr-Universität Bochum,https://www.ruhr-uni-bochum.de/oa/publish.html.de,Western Europe,Germany,English - German,Yes,Ruhr-Universität Bochum,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice, Other","DOI-Vergabe, Metadaten, Meldung DNB",Publish and Service,Publish and Service,Publish and Service,Publish and Service,Publish and Service,[No response],Service,Multidisciplinary
German,Universitäts- und Stadtbibliothek Köln,https://publications.ub.uni-koeln.de/,Western Europe,Germany,German - English,Yes,Universität zu Köln,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Natural sciences,Social sciences,Humanities"
Spanish,Generalitat de Catalunya. Institut Nacional d’Educació Física de Catalunya,http://www.revista-apunts.com/,Southern Europe,Spain,Catalan - Spanish - English,Yes,Generalitat de Cayalunya,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Multidisciplinary
English,Estonian Academy Publishers,https://www.eap.ee,Northern Europe,Estonia,English - Estonian - Russian - German,Yes,Estonian Academy of Sciences,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish and Service,[No response],[No response],[No response],[No response],Publish,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Social sciences,Humanities"
French,Centre National pour la Recherche Scientifique et Technique - CNRST,https://revues.imist.ma,Northern Africa,Morocco,French - English,Yes,Centre National Pour la Recherche Scientifique  et Technique,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Training, support and/or advice",,Service,[No response],[No response],Service,[No response],[No response],[No response],Multidisciplinary
Polish,"Centre for Europe, University of Warsaw",https://journalse.com,Eastern Europe,Poland,English - Polish,Yes,University of Warsaw,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Administrative, legal and financial",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],Social sciences
Hungarian,Institut za filozofiju i društvenu teoriju,https://ifdt.bg.ac.rs/,Southern Europe,Serbia,English - Serbian - French - German - Russian,Withdrawn,Univerzitet u Beogradu,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Social sciences,Humanities"
English,Edinburgh Diamond,https://www.ed.ac.uk/information-services/research-support/edinburgh-diamond,Northern Europe,United Kingdom,English,Yes,University of Edinburgh,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Training, support and/or advice",,Service,Service,Service,[No response],Service,Service,Service,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
Polish,Wydawnictwo Uniwersytetu Jagiellońskiego,https://wuj.pl/,Eastern Europe,Poland,Polish - English - German - French - Russian,Yes,Uniwersytet Jagielloński,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],Publish,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
English,FRITT/ University of Oslo,https://journals.uio.no/,Northern Europe,Norway,Norwegian - English - Spanish - Danish - Swedish,Yes,University of Oslo Library,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Multidisciplinary
Spanish,Publicacions de la Universitat Jaume I,https://www.publicacions.uji.es,Southern Europe,Spain,Spanish - Catalan - English - German - Greek,Yes,Universitat Jaume I,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,Publish and Service,Publish and Service,Publish and Service,[No response],"Multidisciplinary,Engineering and technology,Social sciences,Humanities"
English,Forskning om undervisning och lärande,https://forskul.se,Northern Europe,Sweden,Swedish - Norwegian,Yes,Lärarstiftelsen,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Multidisciplinary
